UPS 3 Day Select,,,,,,,
"The ideal mix of economy and guaranteed time delivery, 3 Day Select features delivery within three business days",,,,,,,
throughout the continuous 48 states.,,,,,,,

Any fraction of a pound over the weight shown takes the next higher rate.,,,,,,,
,,,,,,,
Weight,Zone 302,Zone 303,Zone 304,Zone 305,Zone 306,Zone 307,Zone 308
78 ,$35.10,$42.30,$50.10,$58.10,$67.80,$74.40,$81.90
79 ,$35.50,$42.80,$50.70,$58.80,$68.60,$75.30,$82.90
80 ,$35.90,$43.20,$51.30,$59.50,$69.40,$76.20,$83.90
81 ,$36.30,$43.70,$51.90,$60.20,$70.20,$77.10,$84.90
82 ,$36.70,$44.20,$52.40,$60.90,$71.00,$78.00,$85.90
83 ,$37.10,$44.70,$53.00,$61.60,$71.80,$78.90,$86.90
84 ,$37.50,$45.20,$53.60,$62.30,$72.60,$79.80,$87.90
85 ,$37.90,$45.70,$54.20,$63.00,$73.40,$80.70,$88.90
86 ,$38.30,$46.20,$54.80,$63.70,$74.20,$81.60,$89.90
87 ,$38.70,$46.70,$55.40,$64.40,$75.00,$82.50,$90.90
88 ,$39.10,$47.20,$56.00,$65.00,$75.80,$83.40,$91.90
89 ,$39.50,$47.70,$56.60,$65.70,$76.60,$84.30,$92.90
90 ,$39.90,$48.20,$57.20,$66.40,$77.40,$85.20,$93.90
91 ,$40.30,$48.60,$57.80,$67.10,$78.20,$86.10,$94.90
92 ,$40.70,$49.10,$58.40,$67.80,$79.00,$87.00,$95.90
93 ,$41.10,$49.60,$59.00,$68.50,$79.80,$87.90,$96.90
94 ,$41.50,$50.10,$59.60,$69.20,$80.60,$88.80,$97.90
95 ,$41.90,$50.60,$60.10,$69.90,$81.50,$89.60,$98.90
96 ,$42.30,$51.10,$60.70,$70.60,$82.30,$90.50,$99.80
97 ,$42.70,$51.60,$61.30,$71.30,$83.20,$91.40,$100.70
98 ,$43.10,$52.10,$61.90,$72.00,$84.00,$92.30,$101.70
99 ,$43.50,$52.60,$62.50,$72.70,$84.80,$93.20,$102.70
100 ,$44.00,$53.10,$63.10,$73.40,$85.60,$94.10,$103.70
101 ,$44.40,$53.50,$63.70,$74.10,$86.40,$95.00,$104.70
102 ,$44.80,$54.00,$64.30,$74.80,$87.20,$95.90,$105.70
103 ,$45.20,$54.50,$64.90,$75.40,$88.00,$96.80,$106.70
104 ,$45.60,$55.00,$65.50,$76.10,$88.80,$97.70,$107.70
105 ,$46.00,$55.50,$66.10,$76.80,$89.60,$98.60,$108.70
106 ,$46.40,$56.00,$66.70,$77.50,$90.40,$99.50,$109.70
107 ,$46.80,$56.50,$67.20,$78.10,$91.20,$100.30,$110.70
108 ,$47.20,$57.00,$67.80,$78.80,$92.10,$101.20,$111.70
109 ,$47.60,$57.50,$68.40,$79.50,$92.90,$102.10,$112.70
110 ,$48.00,$58.00,$69.00,$80.20,$93.80,$103.00,$113.70
111 ,$48.40,$58.50,$69.60,$80.90,$94.60,$103.90,$114.70
